ortho_dose,pipe_material,date,location,lead,lead_dissolved,lead_part,cens_lead_part,cens_lead_dissolved,date_yday,date_numeric,scaled_lead_dissolved,scaled_lead_part,scaled_lead,d_x,.prediction_lead_dissolved,.prediction_lead_part
0-0.5,Pb-Cu,2018-02-13,LP11,0.0027,0.0023,4.000000000000002e-4,left,none,0.12054794520547946,1.1205479452054794,-0.8851051255954168,-1.8222276595787372,0.3486821540250649,0.8571428571428571,-0.8851051255954168,-3.183118983290804
0-0.5,Pb-Cu,2018-02-20,LP11,0.0047,0.0043,4.000000000000002e-4,none,none,0.13972602739726028,1.1397260273972605,-0.5685152270884615,-1.3805502329365944,0.7063740137051018,1,-0.5685152270884615,-1.3805502329365944
0-0.5,Pb-Cu,2018-02-28,LP11,0.00875,0.00795,8.000000000000004e-4,none,none,0.16164383561643836,1.1616438356164385,-0.41460164296251506,-1.0528507558588915,1.1074168328276266,1.1428571428571428,-0.41460164296251506,-1.0528507558588915
0-0.5,Pb-Cu,2018-03-06,LP11,0.0037,0.0047,2e-4,none,none,0.1780821917808219,1.178082191780822,0.41494677537314084,1.054362013893307,0.5520011919994395,0.8571428571428571,0.41494677537314084,1.054362013893307
0-0.5,Pb-Cu,2018-03-13,LP11,0.0042,0.0032,9.999999999999996e-4,none,none,0.1972602739726027,1.1972602739726028,-0.04719900233782673,-1.0833699577044826,0.6337929567754886,1,-0.04719900233782673,-1.0833699577044826
0-0.5,Pb-Cu,2018-03-21,LP11,0.0053,0.0045,8.000000000000004e-4,none,none,0.2191780821917808,1.2191780821917808,-0.09023092587465216,-0.9968487448369902,0.783902085172186,1.1428571428571428,-0.09023092587465216,-0.9968487448369902
0-0.5,Pb-Cu,2018-03-27,LP11,0.0151,0.0124,0.0027,none,none,0.2356164383561644,1.2356164383561643,-0.24514602414648673,-1.4705924108110593,1.459514216078531,0.8571428571428571,-0.24514602414648673,-1.4705924108110593
0-0.5,Pb-Cu,2018-04-03,LP11,0.0053,0.0045,8.000000000000004e-4,left,none,0.2547945205479452,1.2547945205479452,-0.4203653633895046,-1.8222276595787372,0.783902085172186,1,-0.4203653633895046,-1.889527048248375
0-0.5,Pb-Cu,2018-04-10,LP11,0.0059,0.0059,2e-4,none,none,0.273972602739726,1.273972602739726,0.41052471820258757,0.5039784202473048,0.8531066859918159,1,0.41052471820258757,0.5039784202473048
0-0.5,Pb-Cu,2018-04-17,LP11,0.0046,0.0045,2e-4,none,none,0.29315068493150687,1.2931506849315069,0.22932775786326676,-0.8488219462327565,0.6924962479599499,1,0.22932775786326676,-0.8488219462327565
0-0.5,Pb-Cu,2018-04-24,LP11,0.0083,0.0062,0.0021,none,none,0.31232876712328766,1.3123287671232875,0.22420485238130855,-0.9816543421657167,1.0733466264132818,1,0.22420485238130855,-0.9816543421657167
0-0.5,Pb-Cu,2018-05-04,LP11,0.0075,0.0039,0.0036,none,none,0.33972602739726027,1.3397260273972602,0.08016320671134304,-1.6022697626496805,1.0079447501371228,1.4285714285714286,0.08016320671134304,-1.6022697626496805
0-0.5,Pb-Cu,2018-05-08,LP11,0.0154,0.0153,2e-4,left,none,0.3506849315068493,1.3506849315068492,-0.021312768764779,-1.8222276595787372,1.4722088793040076,0.5714285714285714,-0.021312768764779,-1.874455208714737
0-0.5,Pb-Cu,2018-05-15,LP11,0.0173,0.0173,2e-4,left,none,0.3698630136986301,1.36986301369863,-0.3060136442122705,-1.8222276595787372,1.5472814112817614,1,-0.3060136442122705,-2.3738161249811442
0-0.5,Pb-Cu,2018-05-22,LP11,0.0372,0.0375,2e-4,none,none,0.38904109589041097,1.389041095890411,0.407047738580277,-0.2839081221126456,2.0413178396501093,1,0.407047738580277,-0.2839081221126456
0-0.5,Pb-Cu,2018-05-30,LP11,0.0196,0.0201,2e-4,none,none,0.410958904109589,1.410958904109589,0.21749571586909988,-1.6777366938659917,1.6278286409838347,1.1428571428571428,0.21749571586909988,-1.6777366938659917
0-0.5,Pb-Cu,2018-06-06,LP11,0.0242,0.0243,2e-4,none,none,0.4301369863013699,1.43013698630137,0.19865156560737401,-1.7730983470213348,1.7638709183831012,1,0.19865156560737401,-1.7730983470213348
0-0.5,Pb-Cu,2018-06-13,LP11,0.0198,0.0198,2e-4,none,none,0.4493150684931506,1.4493150684931506,0.45962755044704257,-0.9588983517992996,1.634379877312505,1,0.45962755044704257,-0.9588983517992996
0-0.5,Pb-Cu,2018-06-19,LP11,0.0038,0.0036,2.000000000000001e-4,none,none,0.4657534246575342,1.4657534246575343,0.4964688812384963,-1.1497680864042454,0.5692099781166344,0.8571428571428571,0.4964688812384963,-1.1497680864042454
0-0.5,Pb-Cu,2018-06-26,LP11,0.0209,0.0211,2e-4,none,none,0.4849315068493151,1.484931506849315,0.4164170242864985,-1.5583106517730667,1.6692689813441537,1,0.4164170242864985,-1.5583106517730667
0-0.5,Pb-Cu,2018-07-03,LP11,0.0034,0.0032,2e-4,left,none,0.5041095890410959,1.504109589041096,0.12777569770378905,-1.8222276595787372,0.4974370505798495,1,0.12777569770378905,-2.267501901835624
0-0.5,Pb-Cu,2018-07-10,LP11,0.0124,0.0123,2e-4,left,none,0.5232876712328767,1.523287671232877,0.1070538857270823,-1.8222276595787372,1.3323929581921876,1,0.1070538857270823,-2.075051257958557
0-0.5,Pb-Cu,2018-07-17,LP11,0.0036,0.0035,2e-4,left,none,0.5424657534246575,1.5424657534246575,0.14599752778752118,-1.8222276595787372,0.5343208740849856,1,0.14599752778752118,-1.9228285033569321
0-0.5,Pb-Cu,2018-07-24,LP11,0.0166,0.0164,2e-4,left,none,0.5616438356164384,1.5616438356164384,0.1858998674512377,-1.8222276595787372,1.5206284271722033,1,0.1858998674512377,-1.8410975506648908
0-0.5,Pb-Cu,2018-08-07,LP11,0.0088,0.0085,2.999999999999999e-4,none,none,0.6,1.6,0.41687787646579655,-1.375837578148557,1.1110937159145038,2,0.41687787646579655,-1.375837578148557
0-0.5,Pb-Cu,2018-08-14,LP11,0.0054,0.0051,2.999999999999999e-4,left,none,0.6191780821917808,1.6191780821917807,0.2803345891952356,-1.8222276595787372,0.7959639547839863,1,0.2803345891952356,-1.91188268099901
0-0.5,Pb-Cu,2018-08-21,LP11,0.0262,0.026,2.0000000000000223e-4,left,none,0.6383561643835617,1.6383561643835618,0.06519496238504735,-1.8222276595787372,1.815111416037109,1,0.06519496238504735,-2.430410862842061
0-0.5,Pb-Cu,2018-08-29,LP11,0.0146,0.0142,3.999999999999993e-4,none,none,0.6602739726027397,1.6602739726027398,0.1482666254039144,-1.7394650025556935,1.4377851854878705,1.1428571428571428,0.1482666254039144,-1.7394650025556935
0-0.5,Pb-Cu,2018-09-04,LP11,0.0153,0.0151,2e-4,none,none,0.6767123287671233,1.6767123287671233,0.16490938983675485,-1.6451012371762102,1.4680050127367716,0.8571428571428571,0.16490938983675485,-1.6451012371762102
0-0.5,Pb-Cu,2018-09-11,LP11,0.0145,0.0142,2.999999999999999e-4,none,none,0.6958904109589041,1.695890410958904,0.19159154515592136,-1.651957154681401,1.4333501767185273,1,0.19159154515592136,-1.651957154681401
0-0.5,Pb-Cu,2018-09-18,LP11,0.0023,0.0022,2e-4,left,none,0.7150684931506849,1.7150684931506848,0.16195713653955948,-1.8222276595787372,0.24521444720102853,1,0.16195713653955948,-2.3978920082154502
0-0.5,Pb-Cu,2018-09-25,LP11,0.0078,0.0078,2e-4,left,none,0.7342465753424657,1.7342465753424658,-0.1498824506116782,-1.8222276595787372,1.0332535325981254,1,-0.1498824506116782,-1.901286496557554
0-0.5,Pb-Cu,2018-10-03,LP11,0.0329,0.0302,0.00269999999999999,none,none,0.7561643835616438,1.7561643835616438,-0.14590616977072396,-1.7519189164237314,1.962052778612448,1.1428571428571428,-0.14590616977072396,-1.7519189164237314
0-0.5,Pb-Cu,2018-10-10,LP11,0.0157,0.0159,2e-4,left,none,0.7753424657534247,1.7753424657534247,-0.34792180651744375,-1.8222276595787372,1.4846586140689373,1,-0.34792180651744375,-1.9574516972814977
0-0.5,Pb-Cu,2018-10-16,LP11,0.00795,0.00775,2.0000000000000052e-4,none,none,0.7917808219178082,1.7917808219178082,-0.33491972200478054,-0.9681661626211066,1.0455451658711867,0.8571428571428571,-0.33491972200478054,-0.9681661626211066
0-0.5,Pb-Cu,2018-10-24,LP11,0.0375,0.0367,7.999999999999952e-4,none,none,0.8136986301369863,1.8136986301369864,-0.33103973938946385,-1.0651018760945745,2.046500929651074,1.1428571428571428,-0.33103973938946385,-1.0651018760945745
0-0.5,Pb-Cu,2018-10-31,LP11,0.0048,0.0048,2e-4,none,none,0.8328767123287671,1.8328767123287673,-0.25644665435896163,-1.345717765367994,0.7199595941449063,1,-0.25644665435896163,-1.345717765367994
0-0.5,Pb-Cu,2018-11-06,LP11,0.007,0.0069,2e-4,none,none,0.8493150684931506,1.8493150684931503,-0.31092228453022464,-0.9994546228569468,0.9634242548315182,0.8571428571428571,-0.31092228453022464,-0.9994546228569468
0-0.5,Pb-Cu,2018-11-13,LP11,0.0101,0.0101,2e-4,left,none,0.8684931506849315,1.8684931506849316,-0.2212906673006219,-1.8222276595787372,1.2000043314902498,1,-0.2212906673006219,-2.4232703397866944
0-0.5,Pb-Cu,2018-11-20,LP11,0.0031,0.0031,2e-4,none,none,0.8876712328767123,1.887671232876712,-0.7164423749520561,-1.3888507531017804,0.4378293566743447,1,-0.7164423749520561,-1.3888507531017804
0-0.5,Pb-Cu,2018-11-27,LP11,0.0116,0.004,0.00759999999999999,none,none,0.9068493150684932,1.906849315068493,-0.534189149170752,-1.198554099442706,1.2893575987224188,1,-0.534189149170752,-1.198554099442706
0-0.5,Pb-Cu,2018-12-04,LP11,0.01,0.0051,0.0049,none,none,0.926027397260274,1.926027397260274,-0.4554563300372112,-1.2976483661872218,1.1935834701970442,1,-0.4554563300372112,-1.2976483661872218
0-0.5,Pb-Cu,2018-12-18,LP11,0.0018,0.0017,2e-4,none,none,0.9643835616438357,1.9643835616438357,-0.4628051792904285,1.6630426829377674,0.08703907332606424,2,-0.4628051792904285,1.6630426829377674
0-0.5,Pb-Cu,2019-01-02,LP11,0.0095,0.0091,3.999999999999993e-4,none,none,0.00547945205479452,2.0054794520547947,0.6602155697538826,-0.0897064842289752,1.160484356871664,2.142857142857143,0.6602155697538826,-0.0897064842289752
0-0.5,Pb-Cu,2019-01-09,LP11,0.0044,0.0044,2e-4,none,none,0.02465753424657534,2.0246575342465754,0.5597856594899778,-1.5742599313627617,0.6638119151555825,1,0.5597856594899778,-1.5742599313627617
0-0.5,Pb-Cu,2019-01-16,LP11,0.0011,0.0011,2e-4,none,none,0.04383561643835616,2.043835616438356,-0.07439527107036925,-1.028396414463687,-0.23075168636226032,1,-0.07439527107036925,-1.028396414463687
0-0.5,Pb-Cu,2019-01-23,LP11,0.0019,0.0019,2e-4,none,none,0.06301369863013699,2.063013698630137,-0.19489464934421202,-1.496177984447886,0.12192817735771304,1,-0.19489464934421202,-1.496177984447886
0-0.5,Pb-Cu,2019-01-29,LP11,0.0083,0.008,2.999999999999999e-4,none,none,0.07945205479452055,2.0794520547945208,-0.47042506502917636,-0.8753881510435806,1.0733466264132818,0.8571428571428571,-0.47042506502917636,-0.8753881510435806
0-0.5,Pb-Cu,2019-02-05,LP11,0.0022,0.0014,8.000000000000001e-4,none,none,0.09863013698630135,2.0986301369863014,-0.4486348935376526,-1.1241019922528244,0.21653011439666103,1,-0.4486348935376526,-1.1241019922528244
0-0.5,Pb-Cu,2019-02-13,LP11,0.001,6e-4,4.000000000000001e-4,none,none,0.12054794520547946,2.1205479452054794,-0.6305395721144201,-0.7300207320613271,-0.2922545100758283,1.1428571428571428,-0.6305395721144201,-0.7300207320613271
0-0.5,Pb-Cu,2019-02-19,LP11,0.0015,8e-4,7e-4,left,left,0.136986301369863,2.136986301369863,-1.8222276595787372,-1.8222276595787372,-0.03061142937682759,0.8571428571428571,-8.055277485825044,-14.226578372910826
0-0.5,Pb-Cu,2019-02-27,LP11,0.0015,8e-4,7e-4,left,left,0.1589041095890411,2.158904109589041,-1.8222276595787372,-1.8222276595787372,-0.03061142937682759,1.1428571428571428,-6.572552154221378,-7.095974356144575
0-0.5,Pb-Cu,2019-03-06,LP11,0.0016,8e-4,8e-4,left,left,0.1780821917808219,2.1780821917808217,-1.8222276595787372,-1.8222276595787372,0.0110347126869848,1,-4.606375200712381,-2.8467003252441963
0-0.5,Pb-Cu,2019-03-13,LP11,0.003,0.0018,0.0012,left,left,0.1972602739726027,2.197260273972603,-1.8222276595787372,-1.8222276595787372,0.4166703713820932,1,-3.6418750180832635,-2.457326726066285
0-0.5,Pb-Cu,2019-03-19,LP11,0.0015,0.0012,3.0000000000000014e-4,none,left,0.2136986301369863,2.213698630136986,-1.8222276595787372,-1.3181929115125897,-0.03061142937682759,0.8571428571428571,-2.74209868509324,-1.3181929115125897
0-0.5,Pb-Cu,2019-03-26,LP11,0.0014,9e-4,5e-4,none,left,0.2328767123287671,2.232876712328767,-1.8222276595787372,-1.749001383565313,-0.07513192468243286,1,-2.3283573485106106,-1.749001383565313
0-0.5,Pb-Cu,2019-04-02,LP11,0.0011,8e-4,3.0000000000000003e-4,none,none,0.25205479452054796,2.252054794520548,-1.7622481487543489,-1.0261486781558047,-0.23075168636226032,1,-1.7622481487543489,-1.0261486781558047
0-0.5,Pb-Cu,2019-04-09,LP11,0.0013,9e-4,4e-4,none,none,0.27123287671232876,2.271232876712329,-1.4764060481665051,-1.1167496116519342,-0.12295314961871805,1,-1.4764060481665051,-1.1167496116519342
0-0.5,Pb-Cu,2019-04-17,LP11,0.0014,0.001,4e-4,none,none,0.29315068493150687,2.293150684931507,-0.978565824626074,-0.37378974300795775,-0.07513192468243286,1.1428571428571428,-0.978565824626074,-0.37378974300795775
0-0.5,Pb-Cu,2019-04-23,LP11,0.0011,0.001,2e-4,none,none,0.3095890410958904,2.3095890410958906,-0.921748372691025,-0.8439895535923558,-0.23075168636226032,0.8571428571428571,-0.921748372691025,-0.8439895535923558
0-0.5,Pb-Cu,2019-04-30,LP11,0.0037,0.0036,2e-4,none,none,0.3287671232876712,2.328767123287671,-1.039298872178069,-1.4816641059670654,0.5520011919994395,1,-1.039298872178069,-1.4816641059670654
0-0.5,Pb-Cu,2019-05-07,LP11,6e-4,5e-4,2e-4,none,none,0.34794520547945207,2.3479452054794523,-0.9242822830740693,-1.2126147072203242,-0.6218858081318579,1,-0.9242822830740693,-1.2126147072203242
0-0.5,Pb-Cu,2019-05-15,LP11,0.0034,0.003,3.9999999999999975e-4,none,none,0.3698630136986301,2.3698630136986303,-0.8796341333820105,-1.3543001879030112,0.4974370505798495,1.1428571428571428,-0.8796341333820105,-1.3543001879030112
0-0.5,Pb-Cu,2019-05-21,LP11,0.0029,0.0027,2e-4,none,none,0.3863013698630137,2.3863013698630136,-0.25199517500046453,0.13803970066478766,0.39479399720457614,0.8571428571428571,-0.25199517500046453,0.13803970066478766
0-0.5,Pb-Cu,2019-05-29,LP11,0.0018,0.0016,2e-4,none,none,0.40821917808219177,2.4082191780821915,-0.32035897137580227,-0.6698286342570405,0.08703907332606424,1.1428571428571428,-0.32035897137580227,-0.6698286342570405
0-0.5,Pb-Cu,2019-06-05,LP11,0.0059,0.0054,4.999999999999996e-4,none,none,0.4273972602739726,2.4273972602739726,-0.3573918375174626,-0.8745157189900822,0.8531066859918159,1,-0.3573918375174626,-0.8745157189900822
0-0.5,Pb-Cu,2019-06-12,LP11,0.0058,0.0053,4.999999999999996e-4,none,none,0.4465753424657534,2.4465753424657533,-0.3680988180170732,-0.9008905430711184,0.8420757979634975,1,-0.3680988180170732,-0.9008905430711184
0-0.5,Pb-Cu,2019-06-18,LP11,0.0049,0.0042,7.000000000000001e-4,none,none,0.46301369863013697,2.463013698630137,-0.3978160410322133,-0.9862296541691146,0.7332650394659923,0.8571428571428571,-0.3978160410322133,-0.9862296541691146
0-0.5,Pb-Cu,2019-06-26,LP11,0.0023,0.0016,6.999999999999999e-4,none,none,0.4849315068493151,2.484931506849315,0.01882690835953732,0.22278158458092367,0.24521444720102853,1.1428571428571428,0.01882690835953732,0.22278158458092367
0-0.5,Pb-Cu,2019-07-02,LP11,0.0014,8e-4,6e-4,none,none,0.5013698630136987,2.5013698630136987,-0.20060848726642683,-0.8246966678285717,-0.07513192468243286,0.8571428571428571,-0.20060848726642683,-0.8246966678285717
0-0.5,Pb-Cu,2019-07-09,LP11,0.0023,0.0018,5e-4,none,none,0.5205479452054794,2.5205479452054793,-0.4044917672235944,-1.3263934610564316,0.24521444720102853,1,-0.4044917672235944,-1.3263934610564316
0-0.5,Pb-Cu,2019-07-16,LP11,0.0023,0.002,2.999999999999999e-4,none,none,0.5397260273972603,2.5397260273972604,-0.43450336019125824,-1.1509746011327564,0.24521444720102853,1,-0.43450336019125824,-1.1509746011327564
0-0.5,Pb-Cu,2019-07-23,LP11,0.0088,0.0068,0.002,none,none,0.5589041095890411,2.558904109589041,-0.4438176024067171,-1.1004538713621683,1.1110937159145038,1,-0.4438176024067171,-1.1004538713621683
0-0.5,Pb-Cu,2019-07-30,LP11,0.0067,0.0061,5.999999999999998e-4,none,none,0.5780821917808219,2.5780821917808217,-0.03242698336116287,0.03238578248987534,0.9351588063234788,1,-0.03242698336116287,0.03238578248987534
0-0.5,Pb-Cu,2019-08-07,LP11,0.003,0.0026,4.000000000000002e-4,none,none,0.6,2.6,-0.07350593067901887,-0.47600998700653196,0.4166703713820932,1.1428571428571428,-0.07350593067901887,-0.47600998700653196
0-0.5,Pb-Cu,2019-08-13,LP11,0.011,0.01,9.999999999999992e-4,none,none,0.6164383561643836,2.616438356164384,0.1344400697069149,0.14683945540527765,1.2550862939106122,0.8571428571428571,0.1344400697069149,0.14683945540527765
0-0.5,Pb-Cu,2019-08-20,LP11,0.0115,0.0104,0.0011,none,none,0.6356164383561644,2.6356164383561644,-0.5439573732727779,-1.799726602534932,1.2837706267149795,1,-0.5439573732727779,-1.799726602534932
0-0.5,Pb-Cu,2019-08-27,LP11,0.0076,0.0067,8.999999999999998e-4,none,none,0.6547945205479452,2.654794520547945,-0.39374989392629856,-0.888965631464255,1.016491778875556,1,-0.39374989392629856,-0.888965631464255
0-0.5,Pb-Cu,2019-09-03,LP11,9e-4,6e-4,3.0000000000000003e-4,none,none,0.673972602739726,2.673972602739726,-0.45094574682346683,-1.0370333501846247,-0.3602427274328571,1,-0.45094574682346683,-1.0370333501846247
0-0.5,Pb-Cu,2019-09-11,LP11,0.007,0.0061,8.999999999999998e-4,none,none,0.6958904109589041,2.695890410958904,-0.1613140480551213,-0.0012937157039619729,0.9634242548315182,1.1428571428571428,-0.1613140480551213,-0.0012937157039619729
0-0.5,Pb-Cu,2019-09-17,LP11,0.0027,0.0021,6.000000000000003e-4,none,none,0.7123287671232876,2.712328767123288,-0.27039628733892895,-0.5730382444638775,0.3486821540250649,0.8571428571428571,-0.27039628733892895,-0.5730382444638775
0-0.5,Pb-Cu,2019-09-24,LP11,0.0043,0.0037,5.999999999999998e-4,none,none,0.7315068493150685,2.7315068493150685,-0.3123104478253984,-0.5685376395011443,0.6489769805291205,1,-0.3123104478253984,-0.5685376395011443
0-0.5,Pb-Cu,2019-10-01,LP11,0.0047,0.0042,5.000000000000004e-4,left,left,0.7506849315068493,2.750684931506849,-1.8222276595787372,-1.8222276595787372,0.7063740137051018,1,-2.2792658771226457,-4.803800965616429
0-0.5,Pb-Cu,2019-10-08,LP11,0.0085,0.0066,0.0019,none,none,0.7698630136986301,2.76986301369863,-1.4703724429874776,-1.1430835274693258,1.0887114293348792,1,-1.4703724429874776,-1.1430835274693258
0-0.5,Pb-Cu,2019-10-16,LP11,0.0038,0.0032,5.999999999999998e-4,none,none,0.7917808219178082,2.791780821917808,-1.0066496828968492,-0.30840668348264666,0.5692099781166344,1.1428571428571428,-1.0066496828968492,-0.30840668348264666
0-0.5,Pb-Cu,2019-10-22,LP11,0.0037,0.0028,9.000000000000002e-4,none,none,0.8082191780821918,2.808219178082192,-0.5085482315925238,0.7249380060874384,0.5520011919994395,0.8571428571428571,-0.5085482315925238,0.7249380060874384
0-0.5,Pb-Cu,2019-10-30,LP11,0.0032,0.0025,7.000000000000001e-4,none,none,0.8301369863013699,2.83013698630137,-0.8474540808154686,-0.9955325025985935,0.4583165134459062,1.1428571428571428,-0.8474540808154686,-0.9955325025985935
0-0.5,Pb-Cu,2019-11-06,LP11,0.001,7e-4,3.0000000000000003e-4,none,none,0.8493150684931506,2.8493150684931505,-0.7965020869911538,-0.6386922741747936,-0.2922545100758283,1,-0.7965020869911538,-0.6386922741747936
0-0.5,Pb-Cu,2019-11-12,LP11,3e-4,2e-4,2e-4,none,none,0.8657534246575342,2.8657534246575342,-0.7390444961052509,-0.4610812163120457,-1.0691676088907789,0.8571428571428571,-0.7390444961052509,-0.4610812163120457
0-0.5,Pb-Cu,2019-11-20,LP11,0.0035,0.0025,0.001,none,none,0.8876712328767123,2.887671232876712,-0.79877554765157,-0.7537598906860767,0.5161424540725968,1.1428571428571428,-0.79877554765157,-0.7537598906860767
0-0.5,Pb-Cu,2019-11-26,LP11,0.0028,0.002,7.999999999999999e-4,none,none,0.9041095890410958,2.904109589041096,-0.8681103124493983,-0.927892075454765,0.3721498760764886,0.8571428571428571,-0.8681103124493983,-0.927892075454765
0-0.5,Pb-Cu,2019-12-04,LP11,0.0031,0.0023,7.999999999999999e-4,none,none,0.926027397260274,2.926027397260274,-0.9512675939149562,-1.1497328884622902,0.4378293566743447,1.1428571428571428,-0.9512675939149562,-1.1497328884622902
0-0.5,Pb-Cu,2019-12-17,LP11,0.0079,0.0045,0.0034,none,none,0.9616438356164384,2.9616438356164383,-0.6497966272370093,-0.25004310124588724,1.0414739142853742,1.8571428571428572,-0.6497966272370093,-0.25004310124588724
0-0.5,Pb-Cu,2020-01-01,LP11,0.0061,6e-4,0.0055,none,none,0.00273224043715847,3.0027322404371586,-0.4579217443279267,-0.03354964986020681,0.8746183858245978,2.142857142857143,-0.4579217443279267,-0.03354964986020681
0-0.5,Pb-Cu,2020-01-07,LP11,0.0013,0.001,2.999999999999999e-4,none,none,0.01912568306010929,3.019125683060109,-0.4521496261016776,-0.22624327938729516,-0.12295314961871805,0.8571428571428571,-0.4521496261016776,-0.22624327938729516
0-0.5,Pb-Cu,2020-01-15,LP11,0.0029,0.0023,5.999999999999998e-4,none,none,0.04098360655737704,3.040983606557377,-0.29860626555078434,0.18826196494333625,0.39479399720457614,1.1428571428571428,-0.29860626555078434,0.18826196494333625
0-0.5,Pb-Cu,2020-01-21,LP11,0.0025,0.0017,8.000000000000001e-4,none,none,0.05737704918032787,3.057377049180328,-0.091798524302384,0.5290361551994547,0.2990198686792014,0.8571428571428571,-0.091798524302384,0.5290361551994547
0-0.5,Pb-Cu,2020-01-29,LP11,0.0022,0.0015,7.000000000000001e-4,none,none,0.07923497267759563,3.079234972677596,0.41758330135316035,1.3590382595800652,0.21653011439666103,1.1428571428571428,0.41758330135316035,1.3590382595800652
0-0.5,Pb-Cu,2020-02-04,LP11,0.0026,0.0016,9.999999999999998e-4,none,none,0.09562841530054644,3.0956284153005464,-0.03943256694652342,-0.21555552405744116,0.32432865114020337,0.8571428571428571,-0.03943256694652342,-0.21555552405744116
0-0.5,Pb-Cu,2020-02-11,LP11,0.0021,0.0012,9e-4,none,none,0.11475409836065574,3.1147540983606556,-0.46270837552305294,-0.9583811934494368,0.1865111560165673,1,-0.46270837552305294,-0.9583811934494368
0-0.5,Pb-Cu,2020-02-18,LP11,0.0022,0.001,0.0012,none,none,0.13387978142076504,3.133879781420765,-0.9486785941646605,-1.5794596249014903,0.21653011439666103,1,-0.9486785941646605,-1.5794596249014903
